product,thr_ticks,month,bucket,active,hit_rate,mean_ret,total
IC0000,20,2023-03,14:00,7,0.2857142857142857,-0.00011864702154549902,-0.0008305291508184931
IC0000,20,2023-03,14:30,5,0.4,-6.881523055288775e-05,-0.0003440761527644387
IC01,1,ALL,09:30,1033,0.5188770571151985,4.2886508584807876e-05,0.04430176336810654
IC01,1,ALL,10:00,1049,0.5347950428979981,3.8128825360687535e-05,0.03999713780336123
IC01,1,ALL,10:30,1067,0.4967197750702905,-1.2812550018888784e-05,-0.013670990870154331
IC01,1,ALL,11:00,1036,0.500965250965251,1.937673700605609e-06,0.002007429953827411
IC01,1,ALL,13:00,1028,0.49319066147859925,-4.34729015258061e-06,-0.004469014276852867
IC01,1,ALL,13:30,1062,0.4745762711864407,-1.9696374487739307e-05,-0.020917549705979144
IC01,1,ALL,14:00,1042,0.4923224568138196,-1.4948965873768488e-05,-0.015576822440466764
IC01,1,ALL,14:30,983,0.4760935910478128,-1.6074759715835094e-05,-0.015801488800665897
IC01,1,2023-01,09:30,404,0.5024752475247525,1.5187770990413265e-05,0.0061358594801269595
IC01,1,2023-01,10:00,406,0.5591133004926109,6.327446075507818e-05,0.02568943106656174
IC01,1,2023-01,10:30,413,0.4963680387409201,-5.0527120639222285e-06,-0.0020867700823998803
IC01,1,2023-01,11:00,401,0.48129675810473815,1.2507876621688157e-06,0.0005015658525296951
IC01,1,2023-01,13:00,405,0.49135802469135803,-2.4608891982117287e-05,-0.009966601252757501
IC01,1,2023-01,13:30,408,0.4950980392156863,-1.62157439180935e-05,-0.006616023518582148
IC01,1,2023-01,14:00,403,0.5012406947890818,-2.2092156132106855e-05,-0.008903138921239062
IC01,1,2023-01,14:30,384,0.4609375,-2.7135004728501336e-05,-0.010419841815744513
IC01,1,2023-02,09:30,553,0.5334538878842676,6.754615120870229e-05,0.03735302161841236
IC01,1,2023-02,10:00,560,0.5196428571428572,2.2246423257756e-05,0.012457997024343359
IC01,1,2023-02,10:30,569,0.492091388400703,-2.3692848005734348e-05,-0.013481230515262843
IC01,1,2023-02,11:00,551,0.5281306715063521,1.5564457413085706e-05,0.008576016034610223
IC01,1,2023-02,13:00,545,0.4917431192660551,1.4298661355954047e-05,0.007792770438994956
IC01,1,2023-02,13:30,568,0.4647887323943662,-2.4467263237280804e-05,-0.013897405518775496
IC01,1,2023-02,14:00,561,0.5044563279857398,1.8552323973157929e-06,0.0010407853748941598
