code,year,n,k_ticks,k_pts,s_sum,s_ss,s_n,hits
IH0000,2022,30,30,6.0,1927.8999999999783,22478.224999999955,4165,1647
IH0000,2023,1,0,0.0,-23810.100000018403,625157.7250000052,4455156,1341823
IH0000,2023,1,2,0.4,-21047.150000008904,72493.85250000178,173460,100312
IH0000,2023,1,4,0.8,-2569.950000000279,9615.83250000016,9101,5946
IH0000,2023,1,6,1.2,-549.000000000035,2759.0600000000063,1219,818
IH0000,2023,1,8,1.6,-180.2000000000112,1053.359999999989,314,209
IH0000,2023,1,13,2.6,-23.200000000001637,186.80000000000234,33,24
IH0000,2023,1,20,4.0,-1.7000000000007276,10.69000000000202,2,1
IH0000,2023,2,0,0.0,5492.7999999817275,685459.7650000065,4454722,1477174
IH0000,2023,2,2,0.4,-8919.100000015003,113429.97500000123,308130,155638
